ID   MARCA     PREÇO    PROCESSADOR     RAM       ARMAZENAMENTO
442  LENOVO    849€     INTEL_CORE_I9   16GB      700GB               
443  INSYS     849€     AMD_RYZEN_7     12GB      450GB               
444  MSI       299€     INTEL_CORE_I5   12GB      600GB               
445  ACER      349€     INTEL_CORE_I7   16GB      700GB               
446  ACER      799€     INTEL_CORE_I9   4GB       250GB               
447  ACER      449€     INTEL_CORE_I9   16GB      350GB               
448  HP        699€     AMD_RYZEN_7     4GB       350GB               
449  INSYS     1299€    INTEL_CORE_I5   8GB       2000GB              
450  HP        1399€    AMD_RYZEN_3     16GB      700GB               
451  SAMSUNG   299€     AMD_RYZEN_7     4GB       750GB               
452  TOSHIBA   799€     INTEL_CORE_I3   16GB      700GB               
453  SAMSUNG   699€     INTEL_CORE_I7   4GB       550GB               
454  MICROSOFT 1499€    INTEL_CORE_I3   16GB      750GB               
455  ASUS      549€     INTEL_CORE_I9   12GB      800GB               
456  TOSHIBA   899€     PENTIUM_G5400   16GB      300GB               
457  ASUS      1099€    AMD_RYZEN_5     16GB      650GB               
458  HP        449€     INTEL_CORE_I5   8GB       400GB               
459  SAMSUNG   1399€    INTEL_CORE_I3   12GB      650GB               
460  LENOVO    799€     INTEL_CORE_I3   16GB      850GB               
461  TOSHIBA   1399€    INTEL_CORE_I9   16GB      600GB               
462  MICROSOFT 799€     AMD_RYZEN_5     12GB      600GB               
463  LENOVO    999€     AMD_RYZEN_3     12GB      250GB               
464  MSI       849€     PENTIUM_G5400   16GB      350GB               
465  SAMSUNG   549€     INTEL_CORE_I9   16GB      2000GB              
466  TOSHIBA   799€     PENTIUM_G5400   12GB      350GB               
467  INSYS     1199€    PENTIUM_G5400   4GB       300GB               
468  LG        799€     INTEL_CORE_I5   4GB       950GB               
469  MSI       849€     AMD_RYZEN_3     16GB      900GB               
470  HP        1499€    INTEL_CORE_I7   4GB       750GB               
471  LENOVO    999€     AMD_RYZEN_3     8GB       300GB               
472  LG        1299€    INTEL_CORE_I9   8GB       300GB               
473  ACER      299€     INTEL_CORE_I3   8GB       600GB               
474  MSI       899€     PENTIUM_G5400   8GB       1500GB              
475  DELL      349€     INTEL_CORE_I5   16GB      300GB               
476  TOSHIBA   999€     PENTIUM_G5400   16GB      900GB               
477  ASUS      749€     AMD_RYZEN_3     16GB      300GB               
478  ASUS      899€     AMD_RYZEN_3     4GB       550GB               
479  HP        449€     INTEL_CORE_I3   12GB      500GB               
480  MICROSOFT 799€     PENTIUM_G5400   16GB      2000GB              
481  ACER      299€     INTEL_CORE_I3   4GB       300GB               
482  MSI       499€     PENTIUM_G5400   4GB       550GB               
483  ACER      299€     AMD_RYZEN_7     8GB       700GB               
484  LENOVO    1299€    INTEL_CORE_I5   12GB      600GB               
485  HP        1399€    AMD_RYZEN_5     16GB      650GB               
486  INSYS     1099€    AMD_RYZEN_5     12GB      300GB               
487  TOSHIBA   999€     AMD_RYZEN_5     4GB       900GB               
488  DELL      1499€    PENTIUM_G5400   12GB      700GB               
489  DELL      799€     AMD_RYZEN_7     4GB       600GB               
490  LG        549€     AMD_RYZEN_5     8GB       300GB               
491  MICROSOFT 649€     INTEL_CORE_I7   12GB      450GB               
492  TOSHIBA   649€     AMD_RYZEN_3     12GB      900GB               
493  HP        1199€    PENTIUM_G5400   4GB       250GB               
494  ACER      399€     AMD_RYZEN_7     12GB      750GB               
495  LENOVO    649€     INTEL_CORE_I3   12GB      950GB               
496  ASUS      799€     AMD_RYZEN_3     8GB       800GB               
497  TOSHIBA   1199€    INTEL_CORE_I9   12GB      300GB               
498  HP        1299€    AMD_RYZEN_7     16GB      900GB               
499  TOSHIBA   349€     INTEL_CORE_I5   8GB       550GB               
500  HP        549€     PENTIUM_G5400   12GB      450GB               
